Name,Position,Age,team,GamesPlayed,GamesStarted,MinutesGame,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AssistsGame,StealsGame,BlocksGame,TOV,PF,PointsGame
Precious Achiuwa,C,24,TOR,12,0,18.2,2.7,6.2,0.432,0.4,1.8,0.238,2.3,4.4,0.509,0.466,0.9,1.8,0.524,1.8,4.1,5.8,2.2,0.5,0.5,1.3,1.8,6.7
Bam Adebayo,C,26,MIA,15,15,34.9,8.6,16.3,0.529,0.1,0.2,0.333,8.5,16.1,0.531,0.531,6.0,7.3,0.818,2.2,8.1,10.3,4.0,1.3,1.1,2.6,2.5,23.3
Ochai Agbaji,SG,23,UTA,17,6,18.8,2.0,4.5,0.442,1.1,2.9,0.388,0.9,1.6,0.536,0.565,0.2,0.4,0.667,0.8,1.6,2.5,0.9,0.5,0.7,0.6,1.5,5.4
Santi Aldama,PF,23,MEM,10,4,26.5,5.8,13.0,0.446,2.0,6.0,0.333,3.8,7.0,0.543,0.523,1.0,1.7,0.588,1.2,4.7,5.9,2.0,0.5,0.6,1.3,1.7,14.6
Nickeil Alexander-Walker,SG,25,MIN,17,6,22.4,2.2,5.6,0.396,1.3,3.8,0.338,0.9,1.8,0.516,0.51,0.2,0.5,0.333,0.4,1.6,2.0,2.5,0.8,0.7,0.9,1.9,5.9
Grayson Allen,SG,28,PHO,16,16,32.5,4.1,8.4,0.489,2.4,5.0,0.475,1.8,3.4,0.509,0.63,1.3,1.6,0.84,0.8,3.7,4.5,2.9,0.6,0.4,1.6,2.4,11.9
Jarrett Allen,C,25,CLE,13,13,28.3,5.3,7.8,0.676,0.0,0.0,0.0,5.3,7.8,0.676,0.676,2.9,3.8,0.76,2.8,4.8,7.7,2.3,0.5,1.2,1.8,2.7,13.5
Jose Alvarado,PG,25,NOP,5,0,17.2,2.8,6.8,0.412,1.2,3.4,0.353,1.6,3.4,0.471,0.5,0.4,1.2,0.333,0.4,1.8,2.2,2.2,1.2,0.2,0.8,1.6,7.2
Kyle Anderson,PF,30,MIN,17,0,24.4,2.9,5.5,0.527,0.1,0.6,0.182,2.8,4.8,0.573,0.538,1.4,2.2,0.622,0.8,3.1,3.8,3.9,0.8,0.9,1.7,1.5,7.2
Giannis Antetokounmpo,PF,29,MIL,17,17,33.9,11.4,19.1,0.599,0.5,1.9,0.242,10.9,17.1,0.639,0.611,6.8,10.5,0.642,2.6,7.9,10.6,4.6,1.3,1.2,4.1,3.1,30.1
Thanasis Antetokounmpo,PF,31,MIL,7,0,6.3,0.4,1.1,0.375,0.0,0.0,0.0,0.4,1.1,0.375,0.375,0.0,0.0,0.0,0.3,0.3,0.6,0.6,0.1,0.1,0.6,1.0,0.9
Cole Anthony,PG,23,ORL,17,0,25.9,4.7,10.9,0.43,1.4,3.9,0.358,3.3,7.0,0.471,0.495,4.2,4.9,0.845,1.1,3.5,4.6,3.7,0.8,0.4,2.2,2.8,15.0
OG Anunoby,SF,26,TOR,14,14,32.1,5.6,11.9,0.473,2.6,6.4,0.404,3.1,5.6,0.551,0.581,1.2,2.0,0.607,1.1,3.0,4.1,2.1,1.0,0.6,1.8,2.1,15.1
Ryan Arcidiacono,PG,29,NYK,5,0,2.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Deni Avdija,SF,23,WAS,17,17,26.9,4.8,9.2,0.519,1.1,2.8,0.396,3.6,6.4,0.574,0.58,1.4,1.7,0.828,1.3,4.2,5.5,3.5,0.9,0.3,1.6,2.5,12.1
Deandre Ayton,C,25,POR,16,16,31.9,6.2,10.4,0.593,0.0,0.0,0.0,6.2,10.4,0.593,0.593,0.9,1.2,0.789,3.3,7.8,11.1,1.6,1.4,0.8,2.0,2.6,13.3
Udoka Azubuike,C,24,PHO,2,0,4.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0
Marvin Bagley III,C,24,DET,16,6,19.3,4.3,7.3,0.586,0.1,0.3,0.2,4.2,6.9,0.604,0.591,2.4,2.6,0.905,1.9,3.3,5.2,1.4,0.1,0.7,1.3,1.7,10.9
Amari Bailey,PG,19,CHO,1,0,3.0,1.0,3.0,0.333,0.0,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Patrick Baldwin Jr.,SF,21,WAS,3,0,3.7,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
LaMelo Ball,PG,22,CHO,15,15,33.4,8.8,19.9,0.443,3.5,8.9,0.388,5.3,10.9,0.488,0.53,3.6,4.2,0.857,1.5,3.9,5.5,8.2,1.4,0.3,3.9,3.5,24.7
Mo Bamba,C,25,PHI,7,0,3.3,0.9,1.4,0.6,0.1,0.3,0.5,0.7,1.1,0.625,0.65,0.7,0.7,1.0,0.6,1.0,1.6,0.0,0.1,0.3,0.4,0.4,2.6
Paolo Banchero,PF,21,ORL,17,17,33.5,7.2,14.7,0.488,1.4,3.2,0.436,5.8,11.5,0.503,0.536,4.1,6.2,0.651,1.3,5.2,6.5,4.6,1.2,0.6,3.2,2.3,19.8
Desmond Bane,SG,25,MEM,16,16,34.1,8.5,19.3,0.442,3.3,9.1,0.359,5.3,10.2,0.515,0.526,3.4,3.9,0.871,0.9,3.5,4.4,5.0,1.3,0.6,2.7,3.1,23.6
Dalano Banton,PG,24,BOS,8,1,8.8,1.4,2.8,0.5,0.1,0.8,0.167,1.3,2.0,0.625,0.523,0.6,0.6,1.0,0.8,1.3,2.0,0.4,0.3,0.1,0.3,1.3,3.5
Dominick Barlow,PF,20,SAS,6,0,5.3,0.3,1.0,0.333,0.0,0.0,0.0,0.3,1.0,0.333,0.333,0.3,0.7,0.5,0.0,0.8,0.8,0.0,0.2,0.0,0.0,0.3,1.0
Harrison Barnes,PF,31,SAC,16,16,31.1,4.2,8.8,0.479,1.9,5.1,0.378,2.3,3.6,0.621,0.589,2.3,2.7,0.837,0.7,2.4,3.1,1.4,0.8,0.1,0.9,1.1,12.6
Scottie Barnes,SG,22,TOR,18,18,34.6,7.0,15.5,0.452,1.9,5.1,0.38,5.1,10.4,0.487,0.514,2.9,3.9,0.757,2.7,6.5,9.2,5.6,1.7,1.2,2.4,2.0,18.9
RJ Barrett,SG,23,NYK,12,12,30.0,6.4,14.9,0.43,2.2,5.0,0.433,4.3,9.9,0.429,0.503,4.2,4.8,0.862,0.5,3.3,3.8,2.5,0.6,0.3,2.0,1.6,19.2
Charles Bassey,C,23,SAS,17,0,10.7,1.5,2.1,0.694,0.0,0.1,0.0,1.5,2.1,0.714,0.694,0.3,0.4,0.833,1.2,2.5,3.8,1.1,0.5,0.7,0.8,1.4,3.2
Emoni Bates,SF,20,CLE,7,0,7.4,0.6,2.1,0.267,0.4,1.7,0.25,0.1,0.4,0.333,0.367,0.1,0.3,0.5,0.1,1.1,1.3,0.3,0.1,0.1,0.1,0.3,1.7
Keita Bates-Diop,SF,28,PHO,14,6,20.4,2.1,5.1,0.403,0.6,2.1,0.276,1.5,3.1,0.488,0.458,1.1,1.6,0.682,1.1,2.5,3.6,1.0,0.8,1.0,0.2,1.4,5.8
Nicolas Batum,PF,35,TOT,12,6,24.5,2.2,3.9,0.553,1.6,3.2,0.5,0.6,0.8,0.778,0.755,0.3,0.3,0.75,1.0,2.9,3.9,1.8,0.8,0.9,0.5,2.2,6.2
Nicolas Batum,PF,35,LAC,3,0,18.0,1.0,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1.0,0.5,0.0,0.0,0.0,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7
Nicolas Batum,PF,35,PHI,9,6,26.7,2.6,4.3,0.59,1.9,3.4,0.548,0.7,0.9,0.75,0.808,0.3,0.4,0.75,1.3,3.1,4.4,1.8,0.7,0.8,0.6,2.3,7.3
Bradley Beal,SG,30,PHO,3,3,28.7,6.0,15.3,0.391,1.7,5.0,0.333,4.3,10.3,0.419,0.446,3.7,5.3,0.688,1.0,4.3,5.3,3.7,0.7,0.3,3.0,3.0,17.3
Malik Beasley,SG,27,MIL,18,18,27.9,4.0,8.2,0.49,2.7,5.9,0.458,1.3,2.2,0.575,0.656,0.4,0.7,0.667,0.6,4.0,4.6,1.3,0.9,0.2,0.7,2.0,11.2
MarJon Beauchamp,SF,23,MIL,14,0,15.7,2.0,4.4,0.452,0.9,2.1,0.414,1.1,2.4,0.485,0.548,0.6,0.9,0.667,0.7,1.7,2.4,1.0,0.3,0.1,0.6,1.9,5.4
Dāvis Bertāns,PF,31,OKC,5,0,9.2,0.6,2.6,0.231,0.6,2.4,0.25,0.0,0.2,0.0,0.346,1.6,1.8,0.889,0.0,0.8,0.8,0.8,0.2,0.2,0.0,1.0,3.4
Patrick Beverley,PG,35,PHI,17,0,16.8,1.1,3.1,0.358,0.4,1.8,0.233,0.7,1.4,0.522,0.425,0.2,0.4,0.571,0.9,2.1,3.1,2.0,0.4,0.4,0.6,2.0,2.9
Saddiq Bey,SF,24,ATL,17,5,28.5,4.5,9.0,0.497,1.6,4.4,0.36,2.9,4.6,0.628,0.585,1.5,1.9,0.788,1.9,3.9,5.8,1.3,1.1,0.2,1.2,1.5,12.1
Goga Bitadze,C,24,ORL,15,12,19.7,2.7,4.7,0.577,0.0,0.2,0.0,2.7,4.5,0.603,0.577,1.6,2.3,0.706,2.2,3.9,6.1,1.7,0.9,1.5,0.6,2.5,7.1
Onuralp Bitim,SG,24,CHI,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bismack Biyombo,C,31,MEM,11,10,25.9,2.9,4.9,0.593,0.0,0.0,0.0,2.9,4.9,0.593,0.593,1.6,2.7,0.6,3.2,4.2,7.4,1.9,0.5,1.0,0.7,2.9,7.5
Anthony Black,PG,20,ORL,15,11,18.3,1.7,3.9,0.448,0.3,1.4,0.238,1.4,2.5,0.568,0.491,0.8,1.2,0.667,0.7,1.4,2.1,1.3,0.3,0.3,1.1,2.1,4.6
Leaky Black,SF,24,CHO,4,0,4.3,0.5,1.3,0.4,0.3,0.5,0.5,0.3,0.8,0.333,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.3,0.5,0.0,0.3,1.3
Bogdan Bogdanović,SG,31,ATL,17,1,26.3,5.8,12.5,0.46,3.2,8.1,0.391,2.6,4.4,0.587,0.587,1.2,1.4,0.913,0.4,2.8,3.2,2.4,1.4,0.4,1.4,2.4,15.9
Bol Bol,PF,24,PHO,3,0,2.3,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.7,0.0,0.7
Marques Bolden,C,25,MIL,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Devin Booker,SG,27,PHO,9,9,34.0,9.9,19.9,0.497,2.2,5.1,0.435,7.7,14.8,0.519,0.553,7.4,8.1,0.918,1.1,4.3,5.4,8.9,0.8,0.6,3.1,3.0,29.4
Chris Boucher,PF,31,TOR,16,0,15.4,2.3,4.8,0.474,0.8,1.8,0.448,1.4,2.9,0.489,0.559,1.8,2.2,0.829,1.4,2.9,4.3,0.4,0.4,0.6,0.4,2.0,7.1
James Bouknight,SG,23,CHO,1,0,5.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,0.238,0.0,1.3,0.0,0.8,2.2,0.385,0.238,0.0,0.0,0.0,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7
Malaki Branham,SG,20,SAS,17,6,20.8,3.5,8.4,0.42,0.9,3.4,0.281,2.6,5.1,0.512,0.476,0.5,0.5,0.889,0.2,1.0,1.2,2.2,0.5,0.1,0.9,1.4,8.5
Christian Braun,SG,22,DEN,18,0,21.1,3.3,7.3,0.458,0.7,1.7,0.4,2.7,5.6,0.475,0.504,1.4,1.9,0.714,0.9,3.4,4.3,1.9,0.3,0.2,0.6,1.7,8.7
Mikal Bridges,SF,27,BRK,17,17,34.8,8.0,16.8,0.477,2.1,5.9,0.347,5.9,10.8,0.549,0.539,3.7,4.3,0.863,1.2,4.9,6.1,3.9,1.1,0.4,2.5,1.8,21.8
Miles Bridges,SF,25,CHO,6,4,36.0,7.0,14.2,0.494,1.8,4.5,0.407,5.2,9.7,0.534,0.559,4.0,5.0,0.8,0.8,7.2,8.0,2.7,1.5,0.5,2.0,1.7,19.8
Oshae Brissett,SF,25,BOS,8,0,11.3,0.4,2.1,0.176,0.1,1.1,0.111,0.3,1.0,0.25,0.206,0.9,1.5,0.583,1.0,1.6,2.6,0.4,0.5,0.0,0.3,1.1,1.8
Malcolm Brogdon,PG,31,POR,12,7,28.4,6.7,16.2,0.412,2.0,5.5,0.364,4.7,10.7,0.438,0.474,2.9,3.7,0.795,1.0,3.4,4.4,6.3,0.8,0.1,1.5,1.5,18.3
Armoni Brooks,PG,25,BRK,5,0,9.0,1.2,3.4,0.353,1.0,2.6,0.385,0.2,0.8,0.25,0.5,0.0,0.0,0.0,0.4,1.6,2.0,0.0,0.0,0.0,0.2,0.2,3.4
Dillon Brooks,SF,28,HOU,15,15,31.0,4.9,10.2,0.477,1.8,4.0,0.45,3.1,6.2,0.495,0.565,2.1,2.5,0.838,0.7,2.9,3.6,1.8,1.1,0.1,1.7,4.1,13.6
Bruce Brown,SG,27,IND,16,16,31.5,4.3,9.3,0.463,1.3,3.8,0.344,3.0,5.5,0.545,0.534,1.5,1.8,0.857,0.5,3.6,4.1,2.8,1.3,0.3,1.1,2.5,11.4
Jaylen Brown,SF,27,BOS,17,17,34.5,8.3,18.4,0.452,2.5,7.2,0.344,5.8,11.2,0.521,0.519,2.8,4.0,0.706,0.5,4.5,5.0,3.6,1.1,0.5,2.4,2.8,21.9
Kobe Brown,PF,24,LAC,7,0,8.1,1.0,2.3,0.438,0.4,1.3,0.333,0.6,1.0,0.571,0.531,0.0,0.0,0.0,0.4,1.1,1.6,0.3,0.1,0.1,0.1,1.1,2.4
Moses Brown,C,24,POR,3,0,4.7,1.0,1.7,0.6,0.0,0.0,0.0,1.0,1.7,0.6,0.6,0.0,0.7,0.0,1.3,0.3,1.7,0.3,0.3,0.3,0.0,0.3,2.0
Troy Brown Jr.,SF,24,MIN,13,0,11.2,1.2,2.8,0.405,0.5,1.8,0.304,0.6,1.1,0.571,0.5,1.3,1.5,0.85,0.8,2.0,2.8,0.5,0.2,0.1,0.4,0.6,4.2
Jalen Brunson,PG,27,NYK,17,17,35.2,8.6,18.6,0.464,3.1,6.6,0.469,5.5,12.0,0.461,0.547,3.7,4.5,0.818,0.6,2.9,3.5,5.2,1.0,0.1,2.0,2.1,24.1
Thomas Bryant,C,26,MIA,12,3,13.5,2.2,4.4,0.491,0.0,0.3,0.0,2.2,4.2,0.52,0.491,1.0,1.3,0.8,1.0,2.8,3.8,0.6,0.5,0.3,1.0,1.3,5.3
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Reggie Bullock,SF,32,HOU,7,0,9.1,0.3,1.6,0.182,0.3,1.4,0.2,0.0,0.1,0.0,0.273,0.0,0.0,0.0,0.1,1.6,1.7,0.4,0.1,0.1,0.3,0.6,0.9
Alec Burks,SG,32,DET,11,0,21.5,3.3,9.1,0.36,2.3,5.9,0.385,1.0,3.2,0.314,0.485,3.3,3.8,0.857,0.5,2.2,2.7,2.2,0.5,0.4,0.5,1.8,12.1
Jared Butler,SG,23,WAS,6,0,5.2,1.0,2.2,0.462,0.5,1.3,0.375,0.5,0.8,0.6,0.577,0.2,0.2,1.0,0.0,0.5,0.5,1.0,0.3,0.2,0.5,0.8,2.7
Jimmy Butler,PF,34,MIA,14,14,33.3,6.4,13.9,0.462,1.2,2.9,0.415,5.2,11.0,0.474,0.505,6.6,7.6,0.877,1.9,3.1,5.0,4.0,1.4,0.6,1.7,0.8,20.7
Jamal Cain,PF,24,MIA,5,0,14.0,1.6,3.4,0.471,0.4,1.8,0.222,1.2,1.6,0.75,0.529,0.4,1.0,0.4,0.6,1.2,1.8,0.0,0.8,0.0,0.4,0.6,4.0
Kentavious Caldwell-Pope,SG,30,DEN,18,18,34.2,3.8,8.6,0.442,1.6,3.8,0.406,2.2,4.7,0.471,0.532,2.1,2.2,0.949,0.6,1.4,2.0,2.6,1.6,0.5,1.3,2.3,11.2
Toumani Camara,PF,23,POR,17,8,24.6,2.1,5.4,0.385,0.8,2.6,0.295,1.3,2.8,0.468,0.456,1.2,1.6,0.741,1.8,2.5,4.2,1.1,0.7,0.6,1.1,2.6,6.1
Clint Capela,C,29,ATL,17,17,24.3,4.5,7.7,0.588,0.0,0.0,0.0,4.5,7.7,0.588,0.588,1.5,2.6,0.591,4.4,5.4,9.8,0.9,0.8,1.6,0.7,2.1,10.6
Jevon Carter,PG,28,CHI,19,0,14.3,2.1,5.4,0.382,1.3,3.5,0.364,0.8,1.9,0.417,0.5,0.0,0.1,0.0,0.1,0.5,0.5,1.2,0.4,0.3,0.7,1.1,5.4
Wendell Carter Jr.,C,24,ORL,5,5,29.4,3.4,9.0,0.378,1.0,3.2,0.313,2.4,5.8,0.414,0.433,1.6,2.8,0.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4
Alex Caruso,SG,29,CHI,16,5,23.7,3.4,6.2,0.545,1.6,3.5,0.464,1.8,2.7,0.651,0.677,1.3,1.7,0.778,1.3,2.3,3.5,2.2,1.4,0.8,1.0,2.4,9.7
Colin Castleton,C,23,LAL,2,0,9.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.0,0.0,0.0,1.0,0.5,1.5,1.0,0.0,0.0,0.0,2.5,2.0
Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Champagnie,SF,22,SAS,10,4,15.2,1.8,5.8,0.31,1.2,3.8,0.316,0.6,2.0,0.3,0.414,0.7,1.0,0.7,0.3,1.3,1.6,1.0,0.6,0.9,0.9,0.6,5.5
Max Christie,SG,20,LAL,13,3,16.9,1.8,4.5,0.397,0.5,2.1,0.222,1.3,2.4,0.548,0.448,0.3,0.4,0.8,0.2,2.7,2.9,1.0,0.4,0.2,0.7,1.3,4.3
Sidy Cissoko,SF,19,SAS,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jordan Clarkson,SG,31,UTA,16,16,31.8,6.6,16.0,0.414,1.8,5.8,0.312,4.8,10.2,0.472,0.471,3.1,3.6,0.845,1.3,2.1,3.3,4.9,0.9,0.1,3.1,1.5,18.1
Nic Claxton,C,24,BRK,8,8,27.3,5.6,8.4,0.672,0.0,0.0,0.0,5.6,8.4,0.672,0.672,1.4,2.5,0.55,2.8,5.5,8.3,1.5,0.6,2.9,0.8,2.5,12.6
Noah Clowney,PF,19,BRK,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,SF,26,LAC,8,0,7.0,0.5,1.5,0.333,0.0,0.4,0.0,0.5,1.1,0.444,0.333,0.5,0.5,1.0,0.3,0.6,0.9,0.4,0.1,0.0,0.3,0.4,1.5
John Collins,PF,26,UTA,17,17,31.2,5.5,11.1,0.495,1.5,3.6,0.41,4.0,7.5,0.535,0.561,2.0,2.8,0.723,2.8,5.6,8.4,0.8,0.6,0.8,1.2,3.0,14.4
Zach Collins,C,26,SAS,17,17,29.2,5.4,10.8,0.503,1.1,4.1,0.271,4.3,6.6,0.646,0.555,2.2,2.8,0.787,2.0,4.3,6.3,3.8,0.7,0.8,2.8,3.6,14.1
Mike Conley,PG,36,MIN,17,17,29.2,3.6,8.1,0.449,2.2,4.9,0.44,1.5,3.2,0.463,0.583,0.8,0.8,1.0,0.5,2.2,2.8,5.9,0.9,0.1,0.8,1.8,10.3
Pat Connaughton,SF,31,MIL,18,0,23.1,2.1,5.0,0.422,1.1,3.3,0.339,1.0,1.7,0.581,0.533,0.4,0.7,0.667,0.7,2.8,3.5,2.0,0.5,0.2,0.8,1.1,5.8
Bilal Coulibaly,SF,19,WAS,16,1,26.1,3.0,6.0,0.5,1.2,2.8,0.422,1.8,3.2,0.569,0.599,0.9,1.4,0.636,0.4,3.3,3.6,1.8,1.0,0.8,1.4,1.9,8.1
Robert Covington,SF-PF,33,TOT,17,6,17.4,1.5,3.7,0.413,0.6,2.1,0.278,0.9,1.6,0.593,0.492,0.6,0.8,0.786,1.2,2.1,3.4,0.9,1.4,0.8,0.2,1.8,4.3
Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,0.333,0.7,2.7,0.25,0.3,0.3,1.0,0.444,0.3,0.7,0.5,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
Robert Covington,SF,33,PHI,14,3,16.2,1.6,3.9,0.426,0.6,2.0,0.286,1.1,1.9,0.577,0.5,0.7,0.9,0.833,1.4,2.1,3.5,0.6,1.3,0.8,0.3,1.7,4.6
Torrey Craig,SF,33,CHI,19,7,21.2,1.7,4.4,0.393,0.6,2.2,0.286,1.1,2.2,0.5,0.464,0.5,0.6,0.909,1.6,3.1,4.7,1.1,0.6,0.4,0.6,2.3,4.6
